r_id,r_name,description,rating,time,servings
1,Brown Butter Pumpkin Chocolate Chip Cookies,"Brown Butter Pumpkin Chocolate Chip Cookies are super chewy pumpkin spice cookies, loaded with caramelized butterscotch flavors and gooey chocolate chips. Not a hint of cakeiness here! This delicious fall cookie is so easy to make – you don’t even need a mixer.",4.8,65,25
2,Old Fashioned Easy Apple Crisp,"A true classic Fall dessert, this easy apple crisp recipe is reminiscent of generations past. Pop this apple crisp in the oven and wait for the delicious smell to waft through your house!",4.9,60,6
3,Thai Coconut Curry Dumpling Soup,"Thai coconut curry dumpling soup. A fragrant and ultra-creamy dish that’s ready in just 15 minutes. This recipe is incredibly versatile, allowing you to customize it with your favorite dumplings and vegetables. Picture a slightly spicy, rich broth combined with frozen potstickers or gyozas for a meal that’s as effortless as it is delicious!",5,15,4
4,Beef Stew,"This Beef Stew Recipe is perfect for the colder weather! Tender beef is simmered in beef broth with potatoes, onions, celery, peas, and carrots until melt in your mouth tender. It’s comfort food heaven!",5,90,8
5,Easy Chicken Curry,"A quick and simple mild chicken curry with bags of flavour. Ready in 30 minutes, it makes a great mid-week meal. Freezer-friendly too!",4.85,30,4
6,Chicken and Rice Soup,"A creamy, comforting and filling dinner. This chicken and rice soup, finished with lemon and parmesan, is a great way to use up leftover cooked chicken. A small amount of rice goes a long way!",5,50,4
7,Country French Omelet,None,4.9,35,2
8,Creamy Italian Meatball Soup,,4.9,35,8
9,Creamy Garlic Pasta,"As far as creamy pasta recipes, this is the best I have ever had. Add prawns and/or scallops to make an amazing seafood Alfredo.",4.8,30,4
10,Best Homemade Brownies,"The BEST brownie recipe! With crispy edges, fudgy middles, and rich chocolate flavor, these homemade brownies will disappear in no time.",4.9,50,16
11,Lemon Raspberry Bars,"These lemon raspberry bars have a thick buttery shortbread crust and are topped with a gooey, thick filling full of lemon raspberry flavor. They’re the perfect, easy tangy berry bar to make for spring and summer. They’re like lemon squares but have loads of raspberry flavor!",4.9,60,16
12,Basic Mashed Potatoes,"This mashed potato recipe is perfect if you're looking for good, old-fashioned mashed potatoes. Made with just potatoes, milk, butter, and optional garlic, this go-to recipe makes a classic holiday dish. Learn how to make mashed potatoes that come out smooth, creamy, and delicious every time! Serve with gravy or extra butter on top.",4.6,35,4
13,Spaghetti Cacio e Pepe,"This spaghetti cacio e pepe recipe has been made in our family for many years, and everyone loves it. It is a very basic and easy variation on mac and cheese.",4.6,20,4
14,Seriously Soft Molasses Cookies,Homemade soft molasses cookies with crackly tops are super chewy and perfectly spiced. They stay seriously soft for days—if they last that long—and are always a holiday favorite.,4.5,120,32
15,No-Fail Easy Sugar Cookies,"If you’re looking for a simple, NO CHILL, NO SPREAD Sugar Cookie Recipe that stays soft and chewy.. You’ve officially found it! Made by literal MILLIONS every single year, this Sugar Cookie has it all.",4.72,25,36
16,The Best Chili Recipe,The Best Chili Recipe is one that is loaded with beef and beans and absolutely full of flavor… just like this one! Chili is hands down one of my husband’s favorite meals (and I love it because it’s easy to make)!,4.97,65,
17,Brown Butter Pumpkin Alla Vodka Tortellini,silky smooth and extra creamy Brown Butter Pumpkin Tortellini Alla Vodka is that cozy bowl of pasta we’re all craving most,4.3,25,6
18,Creamy White Lasagna Soup,"the perfect cozy bowl for nights when you’re craving your favorite lasagna, but could also go for a cozy bowl of soup!",4.7,50,6
19,Spicy Lasagna Soup,"A mix of vegetables simmered with meat, spicy sausage, Italian seasonings, tomatoes, and lasagna noodles.",4.7,45,6
20,Sticky Ginger Soy Chicken and Broccoli,"your new go-to meal. Easy homemade, extra saucy chicken, tossed in a gingery, sweet, spicy, and extra sticky honey soy sauce. Serve with steamed rice and broccoli – cooked right alongside the chicken",4.2,40,6